# Releases descargados exitosamente
# Formato: post_id|band|album
# No editar manualmente

81877|Werewolves|My Enemies Look And Sound Like Me
81874|Okkultation|The Cryptic Manuscript
81769|Venomous Echoes|Writhing Tomb Amongst The Stars
81713|Panzerchrist|Last Of A Kind
81592|Goatoimpurity|Triumph Of Darkness
81290|Infinity|The Untamed Hunger
81288|Human Harvest|Death Storms
81268|Hot Graves|Plaguewielder
81229|Vile Ritual|Caverns Of Occultic Hatred
81128|Hate Manifesto|Αποστάτης
81059|Void Ov Nihility|Above The Stars Of God
80946|Chthon|Eremite
80872|Thoryvodis|Barisan Tempur
80840|Willows Deceit|Flames Hatred & Shadows
80831|Trigonum Mortis|Fall Into The Dark Age
80719|Visions|Visions
80714|Thy Rites|Trivmfyre
79834|Vermin Womb|Retaliation
79818|Asphagor|Pyrogenesis
78826|Grim Ritual|The Death Clock Ticks
78825|Grim Ritual|Apocalyptic Ruin
78464|Barbarian Prophecies|Horizon
78425|Wachenfeldt|The Interpreter
78413|Black Flame|Torment And Glory
78406|Black Flame|Imperivm
78377|Cult Of Extinction|Gnosis Of The Wicked
78278|Black Flame|Septem
78241|Devilpriest|In Repugnant Abortion
77935|Voidthrone|Metaphysical Degradation
77809|Withered|Folie Circulaire
77417|Thy Rites|Daemoniacal Terror
77412|Kathaaria|The Complex Void Of Negativity
77411|Kathaaria|To Be Shunned By All... As Centres Of Pestilence
76846|Nivatakavachas|Ascraedunum
76843|Villainous Temple|Fill Creation With Abuse
76637|Aborted Christians|Submission, Forgiveness, Death!
76055|Werewolves|From The Cave To The Grave
75984|Perdition Temple|Merciless Upheaval
75965|Brutta|Brutta
75871|Eggs Of Gomorrh|Wombspreader
75856|Gone|Wszystko Umiera
75813|Anal Vomit|Depravation
75085|Deathcrush|Under Serpents Reign
75056|Vølus|Festering Anti-Cosmic Wound
74904|Hurakan|Via Aeterna
74196|Empty Chalice|Spiritual Abuse
74163|Haunter|Thrinodía
74135|Negativefill|The Pain Of Continuing - Reaching For Darkness
73978|Deprived Existence|Deprived Existence
73764|Embrace Of Thorns|Darkness Impenetrable
73748|Tyrann|Shadows Of Leng
73590|Goatcraft|Spheres Below
73577|Hierophant|Peste
73536|Human Harvest|Flesh Sermons
73284|Dakhma|Blessings Of Amurdad
73283|Ashen Wings|Of Plagues And Ash
73007|Vortex Of End|Abhorrent Fervor
72962|Mutilation Rites|Empyrean
72132|Crooked God|Cruel And Blasphemous
71887|Ill Omened|Conflagration Roaring Hell
71720|Hate|Rugia
71465|Atroxentis|Verus Dominus
69904|Axis Of Advance|The List
69604|Slaughter Messiah|Cursed To The Pyre
69574|Wargrinder|Tank Tread Doctrine
68772|Preludium|Eternal Wrath
68121|Sarcophagus|Requiem To The Death Of Passion
67909|Olympus|Gods
67685|Bergaisar|Bergaisar
67673|Saturnine|A Living Symbol Of Your Demise
67512|Dark Fortress|Profane Genocidal Creations
67511|Dark Fortress|Tales From Eternal Dusk
67354|Infernal Thorns|Inflicting Ravage To The Holy Cattle
67074|Horde Of Hel|Döden Nalkas
67028|The Last Twilight|La Octava Copa De Ira
62908|Odem|Timeless Past Above
62796|Outlaw|The Fire In My Tomb
61943|Amen Corner|Jachol Ve Tehilá
60730|Ninkharsag|The Blood Of Celestial Kings
56849|Gloom|Solaris
56707|Ravenarium|Sounds For A Dying Age
56608|Decayos|The Hallowed Vertex
54090|Destruktor|Nailed
44748|Anal Blasphemy|Profane Fornication Ejaculation
44223|ColdClaw|Anti-Martyr: Decades To Suffer
43427|Deaf Auditorium|Agony Of Fallen Angels
43341|Hekseri|Hekseri
40413|Sodom|Victims Of Death
37699|Keep Of Kalessin|Through Times Of War
37627|Ragnarok|Nattferd
29831|Stigmhate|Zodacare Od Zodameranu
29820|Gam|Crowned And Reborn
29516|Hate Forest|Purity
27890|Haissem|Demonotone
27702|Doombringer|The Grand Sabbath
27679|Deiphago|I, The Devil
27538|Desolate Tomb|Cast From God's Sight
27507|Deteriorate|The Senectuous Entrance
27470|Acarus Sarcopt|Tarnation
27336|Otargos|Xeno Kaos
27305|Misvita|Misanthropic Aura
27102|Usurper|Lords Of The Permafrost
26968|Grimhowl Grave|Pandaemonium
26962|Blutsturm|8 Hymns From The Swamp
26867|Anatomy|Where Angels Die
26839|Morbital|Меч Миру
26591|Rebirth In Flames|Lucifer's Cosmogony
26533|Light Dweller|Incandescent Crucifix
26315|The Deviant|Lightning Bolts
26310|Defacement|Deviant
26180|Malkuth|Voodoo
26179|Vesterian|Anthems For The Coming War Age
26176|Obed Marsh|Dunwich
25962|Sulphur|Thorns In Existence
25897|Valkyrja|The Invocation Of Demise
25727|Kadaverdisciplin|Death Supremacy
25631|XPus|Sanctus Dominus Deus Sabaoth
25262|Hate Storm Annihilation|Following The Path To Eternal Fire
25183|Rudra|Rudra
25139|War Inside|S.U.T.U.R.E
25138|War Inside|Welcoming The Crow
25109|Haiduk|Exomancer
25068|Whoredom Rife|Dommedagskvad
25040|Death Scepter|Black Trance
25038|Sargeist|Unbound
24940|Uratsakidogi|Black Hop
24853|Depths Above|Ex Nihilo
24765|Dakhma|Hamkar Atonement
24530|Ride For Revenge|Sinking The Song
24344|The Shiva Hypothesis|Ouroboros Stirs
24314|Skjult|Progenies Ov Light
24156|Weapon|Drakonian Paradigm
23916|Wrathprayer|The Sun Of Moloch
23788|Tyrants Blood|Into The Kingdom Of Graves
23755|Blasphemic Cruelty|Devil's Mayhem
23598|Antaeus|Blood Libels
23576|Valdur|Pathetic Scum
23575|Valdur|At War With
23499|Mélas Morion|Hail Lucifer
23460|Phasma|Phasma
23316|Embrace Of Thorns|Scorn Aesthetics
23313|Ibex Angel Order|I
23206|Vulcano|Wholly Wicked
23194|Theotoxin|Consilivm
23175|Dodengod|Salvation
23104|Mylingar|Döda Drömmar
23099|Wulfshon|Daeg
23033|Persecutory|Towards The Ultimate Extinction
22948|The Black Sorcery|...And The Beast Spake Death From Above
22941|Vahrzaw|Defiant
22938|Thornesbreed|The Splendour Of The Repellent
22928|...Under A Full Moon|Chamber Of Hatred
22897|Crucifier|Stronger Than Passing Time
22791|Embrace Of Thorns|Atonement Ritual
22665|Apokefale|Revelation: Procreating Abhorrent Depths
22664|Demonstealer|The Last Reptilian Warrior
22605|Mastiphal|Parvzya
22604|Moon|Lucifer's Horns
22451|Unblessed|Burning Your Faith
22428|Hukutus|Oksitosiini
22420|Nekrokraft|Servants
22371|Onheil|Storm Is Coming
22352|Chaos Echœs|Transient
22341|Perdition Temple|The Tempter's Victorious
22340|Perdition Temple|Edict Of The Antichrist Elect
22171|Handful Of Hate|You Will Bleed
22170|Handful Of Hate|Gruesome Splendour
22159|Karne|Symposium Of Torments
22097|Black Anvil|Time Insults The Mind
22053|Grave Desecrator|Insult
22036|Drouth|Knives, Labyrinths, Mirrors
21911|Our Place Of Worship Is Silence|The Embodiment Of Hate
21851|Goath|II: Opposition
21829|Hemorrhaging Elysium|Degrading Mortality
21622|Richthammer|Ascheland
21613|Gravehill|Rites Of The Pentagram / Metal of Death
21444|Energumen|Void Spiritualism
21410|Lord Impaler|Admire The Cosmos Black
21408|Pestifera|Ouroboros
21280|Malignant Inception|Black Death
21138|Catholicon|Lost Chronicles Of The War In Heaven
21136|Catholicon|The Death Throes Of Christianity
21135|Catholicon|Treatise On The Abyss
21124|Melechesh|As Jerusalem Burns... Al'Intisar (2002, Remaster)
21008|Venereal Baptism|Deviant Castigation Liturgy
20822|Kaoteon|Damnatio Memoriae
20815|Naer Mataron|Lucitherion "Temple Of The Radiant Sun"
20772|Abaddon Incarnate|Pessimist
20732|Operation Winter Mist|Imperial Grand Strategy
20488|Chaos Echœs|Mouvement
20157|Enshadowed|Intensity
20094|Vargrav|Netherstorm
20018|Nephenzy|Where Death Becomes Art
19788|Unblessed|Killing Your Last Drop Of Innocence
19681|Sanctum|Raped Of Your Religion
19233|Obscure Burial|Obscure Burial
19212|Cauterization|Id Katharsis
19057|Azziard|Metempsychose
19008|Nuklear Frost|Subjugation
18804|In-Defilade|Elude
18709|Sacred Sin|Grotesque Destructo Art
18590|Pink Mass|Necrosexual
18506|Nethersphere|Arrival
18487|Sacrocurse|Gnostic Holocaust
18409|Gmork|Tales Of The Midnight Forest
18386|Hybrid Nightmares|Almagest
18300|Goatpenis|Anesthetic Vapor
18196|Caveman Cult|Savage War Is Destiny
18128|Hak-Ed Damm|Nekrowristfucked
17964|Unaussprechlichen Kulten|Wake Up In The Night Of Walpurgis
17922|Crafteon|Cosmic Reawakening
17845|Isacaarum|Menses Exorcism
17353|Cult Of The Horns|Chapter I - Domination
17284|Sentient Divide|Sentient Divide
17283|Ulfhednar|Mortaliter
17275|Garoted|Abyssal Blood Sacrifices
17252|Northern Plague|Scorn The Idle
17217|At Radogost's Gates|Reflection Of A Lunar Eclipse In The Stained Mirror Of Time
17045|Vesicant|Shadows Of Cleansing Iron
17041|Oranssi Pazuzu|Kosmonument
16923|Among The Torrent|The Grievous End Of A Curse
16912|Krallice|Years Past Matter
15488|Grá|Ending
15486|Grá|Grá
15459|Goath|Luciferian Goath Ritual
15340|Einsamtod|Einsamtod
15231|Bestial Warlust|Blood & Valour
14921|Imperial Triumphant|Abyssal Gods
14672|Inferno|Gnosis Kardias (Of Transcension And Involution)
14553|Earth Rot|Renascentia
14137|Black Fucking Cancer|Black Fucking Cancer
14132|Revenge|Triumph.Genocide.Antichrist
14086|Wrought Iron|Rejoice And Transcend
14008|Crurifragium|Beasts Of The Temple Of Satan
13333|Gehenna|Adimiron Black
13107|SRD|Smrti Sel
12556|Demoncy|Empire Of The Fallen Angel (Eternal Black Dominion)
12527|Mallephyr|Assailing The Holy
12350|Abazagorath|Sacraments Of The Final Atrocity
12225|1349|Beyond The Apocalypse
11979|Goatblood|Veneration Of Armageddon
11943|Ragnarok|In Nomine Satanas
11714|DunkelNacht|Ritualz Of The Occult
11509|Woe|Withdrawal
11396|Tridentifer|Left To Rot
11050|Valkyrja|The Antagonist's Fire
11036|Pentagoat|Serpents Of Annihilation
10852|Verberis|Vexamen
10847|Der Weg Einer Freiheit|Unstille
10846|Akercocke|Words That Go Unspoken, Deeds That Go Undone
10780|Derealized|Isolation Poetry
10698|Irkallian Oracle|Apollyon
10593|Ars Veneficium|The Reign Of The Infernal King
10376|Darkthrone|Hate Them
10119|Keitzer|The Last Defence
10078|Voltumna|Damnatio Sacrorum
9515|Kvesta|Ibex Arrival
9368|Nerodia|Heretic Manifesto
8733|Spatial|Silence
7637|Usurper|Cryptobeast
7611|Denouncement Pyre|Black Sun Unbound
7192|Atonement|Atonement
6943|Behemoth|Satanica
6731|Wode|Wode
6549|Estuarine|Estuarine
6548|Estuarine|Lucid/Entheogen
6469|Setentia|Darkness Transcend
6422|Morokh|The Unholy Masquerade
6213|Marduk|World Funeral
6143|Mind Affliction|Into The Void
6108|Conquer|Hells First Born
6059|Silence Oath|The Void
5883|Dark Funeral|Vobiscum Satanas
5878|Satyricon|Now, Diabolical
5851|Satyricon|Volcano
5323|Epic Death|Witchcraft
5306|Satanic Slaughter|Afterlife Kingdom
5080|Diavolos|You Lived Now Die
5033|Bränd Jord|Ont Krut
5021|Act Of Worship|Dominate Eradicate
5020|Weeping Birth|The Crushed Harmony
4922|Invoker|Aeon
4874|Erimha|Thesis Ov Warfare
4472|Dead In Christ|Summer Of Murders
4058|Veilburner|Noumenon
4026|Empyreal Destroyer|Curse All Creation
3994|Tash|Steal, Kill, And Destroy
3962|Undertaker Of The Damned|Lords Of The Extreme Mockery
3913|Violate|Chaos Unbound
3765|Reverie|Bliss
3054|Dead In The Manger|Cessation
2529|Behemoth|Demigod
2076|Singularity|Singularity
1602|Vragh|Iskopan
1576|Belphegor|Lucifer Incestus
1497|Maleficent Vigor|Novus Ordo Seclorum
1429|This Eternal Cold|Winterust
1398|Disloyal|Nineth Gate
1250|One|Con-Text
1227|Scytherium|The Midnight Cadenza
1225|Scytherium|Mother Death
1151|Artificial Brain|Labyrinth Constellation
356|Zyklon|Disintegrate
343|Zyklon|Aeon
91336|Figging|Ectopia Cordis
91330|Sulfuric Cautery|Consummate Extirpation
89471|Trichomoniasis|Makeshift Crematoria
87319|Excruciations|Purification Through Torture
87167|Dysthymia|Parallax
85768|Neuropsychosis|Scourging Homicidal Premonitions
85999|Indecent Excision|Into The Absurd
84697|Paraplexia|Disgorging The Faith
85362|Regurgitated Entrails|Sickening Indulgence Of Flesh
81217|Trichomoniasis|Makeshift Crematoria
80372|Morphogenetic Malformation|Pathogenesis F20.0
80364|Morgues|Dismembering Corpses
76053|First Degree Murder|Anomalous Hallucinations
